from,to,carrier,departure,days_to_departure,price
Moscow,Simferopol,Аэрофлот,2015-05-15,11,4125
Moscow,Simferopol,Аэрофлот,2015-05-15,12,3562
Moscow,Simferopol,Аэрофлот,2015-05-15,14,3750
Moscow,Simferopol,Аэрофлот,2015-05-15,15,4125
Moscow,Simferopol,Аэрофлот,2015-05-15,16,4500
Moscow,Simferopol,Аэрофлот,2015-05-15,17,4500
Moscow,Simferopol,Аэрофлот,2015-05-15,18,3750
Moscow,Simferopol,Аэрофлот,2015-05-15,19,3750
Moscow,Simferopol,Аэрофлот,2015-05-15,22,3562
Moscow,Simferopol,Аэрофлот,2015-05-15,23,3750
Moscow,Simferopol,Аэрофлот,2015-05-15,25,4500
Moscow,Simferopol,Аэрофлот,2015-05-15,26,4500
Moscow,Simferopol,Аэрофлот,2015-05-15,28,3828
Moscow,Simferopol,Аэрофлот,2015-05-15,29,4331
Moscow,Simferopol,Аэрофлот,2015-05-15,30,3902
Moscow,Simferopol,Аэрофлот,2015-05-15,32,4760
Moscow,Simferopol,Аэрофлот,2015-05-15,33,3902
Moscow,Simferopol,Аэрофлот,2015-05-15,34,4878
Moscow,Simferopol,Аэрофлот,2015-05-15,35,4233
Moscow,Simferopol,Аэрофлот,2015-05-15,36,4074
Moscow,Simferopol,Аэрофлот,2015-05-15,37,3905
Moscow,Simferopol,Аэрофлот,2015-05-15,38,3909
Moscow,Simferopol,Аэрофлот,2015-05-15,39,3770
Moscow,Simferopol,Аэрофлот,2015-05-15,40,3909
Moscow,Simferopol,Аэрофлот,2015-05-15,41,3884
Moscow,Simferopol,Аэрофлот,2015-05-15,42,3824
Moscow,Simferopol,Аэрофлот,2015-05-15,43,4398
Moscow,Simferopol,Аэрофлот,2015-05-15,45,4420
Moscow,Simferopol,Аэрофлот,2015-05-15,47,4859
Moscow,Simferopol,Аэрофлот,2015-05-15,49,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,51,4358
Moscow,Simferopol,Аэрофлот,2015-05-15,55,5049
Moscow,Simferopol,Аэрофлот,2015-05-15,57,4815
Moscow,Simferopol,Аэрофлот,2015-05-15,58,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,59,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,60,4420
Moscow,Simferopol,Аэрофлот,2015-05-15,62,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,65,4874
Moscow,Simferopol,Аэрофлот,2015-05-15,68,5868
Moscow,Simferopol,Аэрофлот,2015-05-15,72,3030
Moscow,Simferopol,Аэрофлот,2015-05-15,73,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,74,4885
Moscow,Simferopol,Аэрофлот,2015-05-15,75,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,76,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,77,5049
Moscow,Simferopol,Аэрофлот,2015-05-15,79,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,81,4640
Moscow,Simferopol,Аэрофлот,2015-05-14,0,7742
Moscow,Simferopol,Аэрофлот,2015-05-14,1,9335
Moscow,Simferopol,Аэрофлот,2015-05-14,2,4500
Moscow,Simferopol,Аэрофлот,2015-05-14,3,4500
Moscow,Simferopol,Аэрофлот,2015-05-14,4,4500
Moscow,Simferopol,Аэрофлот,2015-05-14,5,3750
Moscow,Simferopol,Аэрофлот,2015-05-14,6,4000
Moscow,Simferopol,Аэрофлот,2015-05-14,7,3500
Moscow,Simferopol,Аэрофлот,2015-05-14,8,3750
Moscow,Simferopol,Аэрофлот,2015-05-14,9,4200
Moscow,Simferopol,Аэрофлот,2015-05-14,12,4500
Moscow,Simferopol,Аэрофлот,2015-05-14,15,3900
Moscow,Simferopol,Аэрофлот,2015-05-14,18,3750
Moscow,Simferopol,Аэрофлот,2015-05-14,20,3750
Moscow,Simferopol,Аэрофлот,2015-05-14,22,3750
Moscow,Simferopol,Аэрофлот,2015-05-14,23,3750
Moscow,Simferopol,Аэрофлот,2015-05-14,27,4077
Moscow,Simferopol,Аэрофлот,2015-05-14,28,3902
Moscow,Simferopol,Аэрофлот,2015-05-14,29,3902
Moscow,Simferopol,Аэрофлот,2015-05-14,31,4079
Moscow,Simferopol,Аэрофлот,2015-05-14,36,3902
Moscow,Simferopol,Аэрофлот,2015-05-14,38,3909
Moscow,Simferopol,Аэрофлот,2015-05-14,39,3909
Moscow,Simferopol,Аэрофлот,2015-05-14,40,4760
Moscow,Simferopol,Аэрофлот,2015-05-14,41,4760
Moscow,Simferopol,Аэрофлот,2015-05-14,43,5868
Moscow,Simferopol,Аэрофлот,2015-05-14,44,4640
Moscow,Simferopol,Аэрофлот,2015-05-14,46,4640
Moscow,Simferopol,Аэрофлот,2015-05-14,49,4640
Moscow,Simferopol,Аэрофлот,2015-05-14,50,4311
Moscow,Simferopol,Аэрофлот,2015-05-14,55,4640
Moscow,Simferopol,Аэрофлот,2015-05-14,57,5868
Moscow,Simferopol,Аэрофлот,2015-05-14,58,4640
Moscow,Simferopol,Аэрофлот,2015-05-14,63,4640
Moscow,Simferopol,Аэрофлот,2015-05-14,73,4743
Moscow,Simferopol,Аэрофлот,2015-05-14,74,4420
Moscow,Simferopol,Аэрофлот,2015-05-14,76,4640
Moscow,Simferopol,Аэрофлот,2015-05-14,79,4420
Moscow,Simferopol,Аэрофлот,2015-05-13,0,6785
Moscow,Simferopol,Аэрофлот,2015-05-13,1,4125
Moscow,Simferopol,Аэрофлот,2015-05-13,2,3750
Moscow,Simferopol,Аэрофлот,2015-05-13,3,3842
Moscow,Simferopol,Аэрофлот,2015-05-13,4,3750
Moscow,Simferopol,Аэрофлот,2015-05-13,5,3750
Moscow,Simferopol,Аэрофлот,2015-05-13,6,3812
Moscow,Simferopol,Аэрофлот,2015-05-13,7,3778
Moscow,Simferopol,Аэрофлот,2015-05-13,8,4500
Moscow,Simferopol,Аэрофлот,2015-05-13,10,3750
Moscow,Simferopol,Аэрофлот,2015-05-13,11,4760
Moscow,Simferopol,Аэрофлот,2015-05-13,13,4500
Moscow,Simferopol,Аэрофлот,2015-05-13,15,4500
Moscow,Simferopol,Аэрофлот,2015-05-13,19,3750
Moscow,Simferopol,Аэрофлот,2015-05-13,21,3750
Moscow,Simferopol,Аэрофлот,2015-05-13,23,4000
Moscow,Simferopol,Аэрофлот,2015-05-13,25,4500
Moscow,Simferopol,Аэрофлот,2015-05-13,29,3909
Moscow,Simferopol,Аэрофлот,2015-05-13,32,4760
Moscow,Simferopol,Аэрофлот,2015-05-13,40,3909
Moscow,Simferopol,Аэрофлот,2015-05-13,43,5868
Moscow,Simferopol,Аэрофлот,2015-05-13,47,5868
Moscow,Simferopol,Аэрофлот,2015-05-13,49,4420
Moscow,Simferopol,Аэрофлот,2015-05-13,54,5868
Moscow,Simferopol,Аэрофлот,2015-05-13,70,4640
Moscow,Simferopol,Аэрофлот,2015-05-12,0,10266
Moscow,Simferopol,Аэрофлот,2015-05-12,1,3938
Moscow,Simferopol,Аэрофлот,2015-05-12,3,3750
Moscow,Simferopol,Аэрофлот,2015-05-12,5,3818
Moscow,Simferopol,Аэрофлот,2015-05-12,6,3750
Moscow,Simferopol,Аэрофлот,2015-05-12,11,4500
Moscow,Simferopol,Аэрофлот,2015-05-12,12,3750
Moscow,Simferopol,Аэрофлот,2015-05-12,13,3750
Moscow,Simferopol,Аэрофлот,2015-05-12,17,3750
Moscow,Simferopol,Аэрофлот,2015-05-12,18,3750
Moscow,Simferopol,Аэрофлот,2015-05-12,20,4000
Moscow,Simferopol,Аэрофлот,2015-05-12,23,4500
Moscow,Simferopol,Аэрофлот,2015-05-12,30,4002
Moscow,Simferopol,Аэрофлот,2015-05-12,31,3902
Moscow,Simferopol,Аэрофлот,2015-05-12,32,3902
Moscow,Simferopol,Аэрофлот,2015-05-12,34,3909
Moscow,Simferopol,Аэрофлот,2015-05-12,35,3909
Moscow,Simferopol,Аэрофлот,2015-05-12,36,3909
Moscow,Simferopol,Аэрофлот,2015-05-12,37,4079
Moscow,Simferopol,Аэрофлот,2015-05-12,39,3790
Moscow,Simferopol,Аэрофлот,2015-05-12,40,4193
Moscow,Simferopol,Аэрофлот,2015-05-12,49,5049
Moscow,Simferopol,Аэрофлот,2015-05-12,50,4640
Moscow,Simferopol,Аэрофлот,2015-05-12,54,4640
Moscow,Simferopol,Аэрофлот,2015-05-12,62,4377
Moscow,Simferopol,Аэрофлот,2015-05-12,65,4640
Moscow,Simferopol,Аэрофлот,2015-05-12,74,4640
Moscow,Simferopol,Аэрофлот,2015-05-11,1,7960
Moscow,Simferopol,Аэрофлот,2015-05-11,2,4250
Moscow,Simferopol,Аэрофлот,2015-05-11,3,7578
Moscow,Simferopol,Аэрофлот,2015-05-11,4,9172
Moscow,Simferopol,Аэрофлот,2015-05-11,5,2812
Moscow,Simferopol,Аэрофлот,2015-05-11,9,4500
Moscow,Simferopol,Аэрофлот,2015-05-11,10,4000
Moscow,Simferopol,Аэрофлот,2015-05-11,11,4500
Moscow,Simferopol,Аэрофлот,2015-05-11,12,4000
Moscow,Simferopol,Аэрофлот,2015-05-11,13,3750
Moscow,Simferopol,Аэрофлот,2015-05-11,14,3750
Moscow,Simferopol,Аэрофлот,2015-05-11,21,3750
Moscow,Simferopol,Аэрофлот,2015-05-11,23,4500
Moscow,Simferopol,Аэрофлот,2015-05-11,24,4054
Moscow,Simferopol,Аэрофлот,2015-05-11,25,5208
